annee,cumul_periode,rss,region,nom_etablissement,nom_installation,no_permis_installation,nb_visites_total,nb_usagers_75ans_et_plus_total,nb_usagers_sante_mentale_total,dms_total,nb_usagers_pec_total,delai_pec_total,nb_visites_ambulatoire,nb_usagers_75ans_et_plus_amb,nb_usagers_sante_mentale_amb,dms_ambulatoire,nb_usagers_pec_ambulatoire,delai_pec_ambulatoire,nb_visites_sur_civiere,nb_usagers_sur_civiere_plus_24h,nb_usagers_sur_civiere_plus_48h,dms_sur_civiere,nb_usagers_pec_sur_civiere,delai_pec_sur_civiere,nb_usagers_75ans_et_plus_civ,nb_usagers_sante_mentale_civ
2021-2022,10,02,Saguenay-Lac-Saint-Jean,Total régional,Total régional,,128271,18789,6443,5.9044215935,110189,2.3249537512,87354,7564,2393,3.4670489172,69907,2.6219812433,40917,4012,444,11.107986194,40282,1.8094803165,11225,4050
2022-2023,10,08,Abitibi-Témiscamingue,Total régional,Total régional,,88573,9515,4665,6.1392353012,73664,2.9833221678,73101,5126,3386,4.8048413496,58332,3.2749024025,15472,1977,327,12.44388449,15332,1.8739784257,4389,1279
2022-2023,10,01,Bas-Saint-Laurent,Total régional,Total régional,,110650,17182,3931,4.3766647211,94853,1.9670216575,83556,8074,2364,3.1819833372,68215,2.1410243145,27094,790,30,8.0609785069,26638,1.521432978,9108,1567
2022-2023,10,03,Capitale-Nationale,Total régional,Total régional,,301243,46510,15660,7.4257095352,244706,1.974297051,202747,17746,5622,3.7754527495,146768,2.4536064855,98496,17512,4317,14.939503116,97938,1.2560131665,28764,10038
2022-2023,10,12,Chaudière-Appalaches,Total régional,Total régional,,189346,27968,7705,6.1142134549,161727,1.7637231226,147263,12875,4074,3.3751988921,119696,2.0656614047,42083,9251,1703,15.69897456,42031,0.9038624335,15093,3631
2022-2023,10,09,Côte-Nord,Total régional,Total régional,,79298,8616,3844,6.6297825887,62998,2.8821519202,63126,4797,2491,4.4790077253,47209,3.0276770319,16172,2769,1107,15.025145811,15789,2.4470328499,3819,1353
2022-2023,10,05,Estrie,Total régional,Total régional,,186129,27634,9503,8.7879675595,149874,3.3651347873,122598,9162,3264,5.4201512826,86701,4.3762387945,63531,13014,3054,15.286960806,63173,1.9774576384,18472,6239
2022-2023,10,11,Gaspésie-Îles-de-la-Madeleine,Total régional,Total régional,,78435,12327,3062,5.4504238506,68631,1.9760459478,63790,7498,2048,3.5039673887,54272,2.1216281467,14645,2380,759,13.928707067,14359,1.4257961325,4829,1014
2022-2023,10,14,Lanaudière,Total régional,Total régional,,112852,18450,6678,10.980255709,79403,3.9712312297,76412,5753,3578,6.3709982471,43140,5.0448411503,36440,12350,3041,20.645529615,36263,2.6940194168,12697,3100
2022-2023,10,15,Laurentides,Total régional,Total régional,,148760,23502,9396,12.370324533,109316,4.0680678339,99410,8189,3197,6.5595123199,60363,5.0308553759,49350,18157,6641,24.075549296,48953,2.880873088,15313,6199
2022-2023,10,13,Laval,Total régional,Total régional,,72579,12180,4414,9.3561265885,53907,3.2350124546,48347,3474,1290,5.5735865261,29766,4.1724498216,24232,5611,454,16.902943376,24141,2.0791464728,8706,3124
2022-2023,10,04,Mauricie et Centre-du-Québec,Total régional,Total régional,,191426,30374,9452,7.8265514989,145851,3.2672510054,128460,9894,2928,4.8481492293,83896,4.0936547763,62966,10666,1445,13.902934873,61955,2.1481811844,20480,6524
2022-2023,10,06,Montréal,Total régional,Total régional,,672749,91171,47074,11.134736775,545394,2.823472048,427279,24587,16960,5.9380521665,303313,3.6906402499,245470,69276,23162,20.180380653,242081,1.7369622071,66584,30114
2022-2023,10,16,Montérégie,Total régional,Total régional,,291972,49031,17424,11.683303746,206388,3.634924818,199331,17380,7126,5.7931918281,114229,4.2573031975,92641,31757,13079,24.356762569,92159,2.8635008669,31651,10298
2022-2023,10,07,Outaouais,Total régional,Total régional,,123076,15279,6649,8.932929247,90958,2.9527944918,92202,7066,2981,4.3970038279,60730,3.0020447793,30874,8731,4353,22.479000229,30228,2.8538474906,8213,3668
2022-2023,10,02,Saguenay-Lac-Saint-Jean,Total régional,Total régional,,141495,20243,6716,6.3270050964,119830,2.7258076117,98878,8139,2552,3.867773547,77903,3.0428698474,42617,4940,744,12.032800838,41927,2.1366860588,12104,4164
2023-2024,10,08,Abitibi-Témiscamingue,Total régional,Total régional,,85446,10084,4464,6.214446512,72393,2.8517625054,68996,5481,3168,4.8492468404,56120,3.1397740803,16450,1852,334,11.940483992,16273,1.8585092894,4603,1296
2023-2024,10,01,Bas-Saint-Laurent,Total régional,Total régional,,103919,18174,4232,4.7171102761,90398,1.9911029282,77382,8885,2475,3.3397644945,64310,2.1827970637,26537,1197,141,8.7334561807,26088,1.5185542523,9289,1757
2023-2024,10,03,Capitale-Nationale,Total régional,Total régional,,295470,49898,16022,7.4139325951,244253,1.9914217055,195163,18954,5755,3.7771520131,144584,2.4625383476,100307,17243,3547,14.489859587,99669,1.3080002949,30944,10267
2023-2024,10,12,Chaudière-Appalaches,Total régional,Total régional,,182884,29157,7703,5.8901923836,158364,1.843515819,142632,14157,4080,3.401642278,118164,2.1686615965,40252,7265,1413,14.708310208,40200,0.8877813502,15000,3623
2023-2024,10,09,Côte-Nord,Total régional,Total régional,,76884,8952,4078,6.2647569426,61413,2.7290657335,60650,5172,2588,3.9620339516,45552,2.8670426533,16234,2872,1026,14.867698264,15861,2.3328029093,3780,1490
2023-2024,10,05,Estrie,Total régional,Total régional,,180832,29334,9635,8.7675239433,148960,3.3273229913,118137,10621,3431,5.39692103,86593,4.2769179187,62695,12681,2717,15.118794641,62367,2.0088649357,18713,6204
2023-2024,10,11,Gaspésie-Îles-de-la-Madeleine,Total régional,Total régional,,75397,12743,2991,5.3298924434,67175,1.8107728818,60605,7740,1981,3.3226213,52582,1.9383579615,14792,2468,588,13.553977601,14593,1.35105393,5003,1010
2023-2024,10,14,Lanaudière,Total régional,Total régional,,112418,20234,7009,10.644304782,81322,4.0001600599,74147,6680,3706,6.2489507555,43272,5.0089437807,38271,11944,2079,19.159951486,38050,2.852930384,13554,3303
2023-2024,10,15,Laurentides,Total régional,Total régional,,146324,25962,9925,11.993527915,110886,3.9769485728,95241,9331,3130,6.5450850007,60251,4.9697844572,51083,17296,5399,22.151802714,50635,2.7955650461,16631,6795
2023-2024,10,13,Laval,Total régional,Total régional,,69561,13493,4348,9.7876321342,54277,3.0068660093,44223,4116,1040,5.4492635619,28999,3.8419205739,25338,5831,653,17.359487583,25278,2.048888823,9377,3308
2023-2024,10,04,Mauricie et Centre-du-Québec,Total régional,Total régional,,185265,32328,9344,7.4090562842,145790,3.0066325041,120865,10694,2926,4.5830796297,82485,3.7354556889,64400,8944,821,12.712808898,63305,2.0569921851,21634,6418
2023-2024,10,06,Montréal,Total régional,Total régional,,660215,95814,47445,11.163126995,543931,2.6956648071,406419,26909,16447,5.7297532985,293190,3.4999601112,253796,70783,21674,19.863919381,250741,1.7552069632,68905,30998
2023-2024,10,16,Montérégie,Total régional,Total régional,,290771,54373,17549,11.376924235,213308,3.8028851525,186500,19408,6668,6.0968911558,109876,4.4894023591,104271,31941,10407,20.820836437,103432,3.0735966867,34965,10881
2023-2024,10,07,Outaouais,Total régional,Total régional,,119384,16348,6551,9.7201379791,89151,3.460876774,87515,7531,2811,5.1227914135,58096,3.4234038153,31869,9548,4151,22.344844895,31055,3.530979141,8817,3740
2023-2024,10,02,Saguenay-Lac-Saint-Jean,Total régional,Total régional,,137282,21780,7025,6.1955981038,117463,2.6927780497,93467,9245,2794,3.8610818108,74398,3.0219408452,43815,4080,310,11.175633123,43065,2.1241247662,12535,4231
2024-2025,10,08,Abitibi-Témiscamingue,Total régional,Total régional,,94059,11491,4972,6.3457381744,78815,3.2285270676,76420,6413,3627,5.1014176699,61385,3.5620126117,17639,2063,287,11.736688509,17430,2.0540571811,5078,1345
2024-2025,10,01,Bas-Saint-Laurent,Total régional,Total régional,,115802,19738,4538,4.7545630689,100305,2.073975497,89295,10116,2748,3.3808992478,74180,2.2804149891,26507,1623,168,9.3820694219,26125,1.4878058692,9622,1790
2024-2025,10,03,Capitale-Nationale,Total régional,Total régional,,320253,54791,17302,7.2269208051,263609,2.1073307879,213435,20987,6425,3.910329317,157573,2.5905479559,106818,17627,2373,13.853862934,106036,1.3892541081,33804,10877
2024-2025,10,12,Chaudière-Appalaches,Total régional,Total régional,,193498,31476,8289,6.3397265232,167791,2.0303184021,150774,15744,4264,3.627766814,125135,2.3927295254,42724,8462,2265,15.910296067,42656,0.9671545816,15732,4025
2024-2025,10,09,Côte-Nord,Total régional,Total régional,,80488,9632,4483,6.6134951345,64928,3.2288678742,63579,5543,2677,4.7066511523,48427,3.4372341761,16909,2688,792,13.783359322,16501,2.6173561535,4089,1806
2024-2025,10,05,Estrie,Total régional,Total régional,,192795,31897,9610,8.734723372,157058,3.7167457121,126723,11626,3488,5.9084715548,91467,4.8004243486,66072,11414,1620,14.155341925,65591,2.2055500628,20271,6122
2024-2025,10,11,Gaspésie-Îles-de-la-Madeleine,Total régional,Total régional,,82125,13744,3109,5.0372545003,72070,2.0482805451,66098,8616,1982,3.5571178192,56303,2.2090160481,16027,1772,277,11.141583092,15767,1.4743038202,5128,1127
2024-2025,10,14,Lanaudière,Total régional,Total régional,,122929,22536,7647,10.090000949,90428,3.5195333089,81070,7284,3953,5.7949583488,48767,4.4179230149,41859,12549,1657,18.40838179,41661,2.4679077888,15252,3694
2024-2025,10,15,Laurentides,Total régional,Total régional,,161934,29031,10442,11.809600166,123566,3.8709183621,105406,10481,3322,6.304972909,67475,4.8264395085,56528,18276,5918,22.073907071,56091,2.7214685511,18550,7120
2024-2025,10,13,Laval,Total régional,Total régional,,72780,14079,4774,10.803477795,56029,3.7701796094,45587,4271,1020,6.4820036901,28962,4.8479119958,27193,7138,760,18.048101043,27067,2.6169936126,9808,3754
2024-2025,10,04,Mauricie et Centre-du-Québec,Total régional,Total régional,,199365,35684,10047,7.308816576,156616,3.1992920051,129255,12429,3031,4.8553923124,87817,4.0055135648,70110,7884,488,11.831956687,68799,2.1702078801,23255,7016
2024-2025,10,06,Montréal,Total régional,Total régional,,717145,105145,50668,10.844276488,580102,2.774525762,442367,29153,17639,5.7041415675,308339,3.6366058426,274778,72606,21205,19.119415199,271763,1.7964201702,75992,33029
2024-2025,10,16,Montérégie,Total régional,Total régional,,300450,57350,19154,11.478701457,218489,4.0976961858,187306,19899,6918,6.169886398,106517,4.960543304,113144,33926,10383,20.267262171,111972,3.2768848537,37451,12236
2024-2025,10,07,Outaouais,Total régional,Total régional,,132709,18562,7263,9.5511779512,98984,4.2245284507,97832,8416,2958,5.5625353781,65307,4.085716526,34877,10119,3241,20.73955081,33677,4.4937148499,10146,4305
2024-2025,10,02,Saguenay-Lac-Saint-Jean,Total régional,Total régional,,148697,23905,7094,6.3502697973,126657,2.9299589157,102733,10307,2756,4.1557058156,81515,3.3203363764,45964,4213,283,11.255285495,45142,2.225036256,13598,4338
2020-2021,10,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,Total établissement,,77969,13566,3567,3.9011363419,68511,1.2921543499,56016,6060,2140,2.5232223432,46782,1.426781211,21953,281,0,7.4170672194,21729,1.0023060452,7506,1427
2020-2021,10,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,Total établissement,,104165,16192,5423,5.2142704977,92476,1.6899630805,67180,6023,1902,2.8070477986,55866,1.9036718716,36985,2162,148,9.5867788368,36610,1.3638484855,10169,3521
2020-2021,10,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,Total établissement,,147056,24151,12546,9.0472840656,129579,1.4971730566,83306,6434,3486,3.7156847613,65983,1.9634442668,63750,13196,3115,16.014408954,63596,1.0134009127,17717,9060
2020-2021,10,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,Total établissement,,62855,7687,1531,3.3066311307,50814,1.306252132,51711,4488,986,2.2802752047,39775,1.4347588589,11144,503,65,8.0691841898,11039,0.8432251311,3199,545
2020-2021,10,03,Capitale-Nationale,INSTITUT UNIVERSITAIRE DE CARDIOLOGIE ET DE PNEUMOLOGIE DE QUÉBEC - UNIVERSITÉ LAVAL,Total établissement,,16980,5173,452,7.7058424126,16265,1.4432258257,8197,1568,256,3.6797963008,7490,1.8653341492,8783,643,0,11.463271535,8775,1.082930516,3605,196
2020-2021,10,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,Total établissement,,144684,24148,8834,6.1474011466,121804,1.8986657982,90947,7208,3018,3.2621679537,68549,2.3077664842,53737,4957,322,11.030504096,53255,1.3720778174,16940,5816
2020-2021,10,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,Total établissement,,141788,21797,8722,7.4100887083,123771,2.0713325617,87473,6721,2959,3.9580519036,69716,2.5848538595,54315,8062,1494,12.969510883,54055,1.4090321124,15076,5763
2020-2021,10,06,Montréal,CENTRE HOSPITALIER DE L'UNIVERSITÉ DE MONTRÉAL,Total établissement,,39948,5791,3090,12.634029516,34971,2.1596798856,23605,1632,1304,5.8030229,18700,2.8882658942,16343,6147,1389,22.500388885,16271,1.3223276415,4159,1786
2020-2021,10,06,Montréal,CENTRE HOSPITALIER UNIVERSITAIRE SAINTE-JUSTINE,Total établissement,,36845,0,1131,4.1800083081,35429,1.0418488934,25154,0,548,3.3838972043,23839,1.1736981184,11691,24,0,5.8928967439,11590,0.7706535807,0,583
2020-2021,10,06,Montréal,CENTRE UNIVERSITAIRE DE SANTÉ MCGILL,Total établissement,,89027,9580,5067,9.7783807628,82476,1.6442718387,49978,2083,1361,4.6482707502,43752,1.9331357805,39049,7961,2478,16.344301483,38724,1.317901237,7497,3706
2020-2021,10,06,Montréal,CIUSSS DE L'EST-DE-L'ÎLE-DE-MONTRÉAL,Total établissement,,68091,13878,7796,13.925195873,58426,2.5901916765,37656,3099,2732,5.0936694388,28162,3.5021291003,30435,11976,4253,24.85208792,30264,1.7415932847,10779,5064
2020-2021,10,06,Montréal,CIUSSS DE L'OUEST-DE-L'ÎLE-DE-MONTRÉAL,Total établissement,,68350,11268,7875,10.307469223,64193,1.9630047452,43169,3116,2598,4.8637857027,39079,2.2875692685,25181,7316,1576,19.63983783,25114,1.4579614624,8152,5277
2020-2021,10,06,Montréal,CIUSSS DU CENTRE-OUEST-DE-L'ÎLE-DE-MONTRÉAL,Total établissement,,48962,8993,2694,8.3811567247,46280,1.1714990217,19311,1033,324,3.2845700925,16885,1.286535518,29651,3293,581,11.700443914,29395,1.1054200544,7960,2370
2020-2021,10,06,Montréal,CIUSSS DU CENTRE-SUD-DE-L'ÎLE-DE-MONTRÉAL,Total établissement,,48669,6701,5783,11.290796845,43636,1.6900962253,28034,1659,1978,4.1791951044,23507,2.1641375737,20635,7119,2067,20.952373933,20129,1.1365024067,5042,3805
2020-2021,10,06,Montréal,CIUSSS DU NORD-DE-L'ÎLE-DE-MONTRÉAL,Total établissement,,81906,12433,7436,9.5626613367,71965,2.0147847642,55016,3698,3271,4.5926186372,45132,2.5913228604,26890,7999,1937,19.731194961,26833,1.0450714502,8735,4165
2020-2021,10,06,Montréal,INSTITUT DE CARDIOLOGIE DE MONTRÉAL,Total établissement,,12313,3249,422,8.5567680049,12033,1.1443622169,7661,1430,363,3.1347002495,7384,1.2701821506,4652,1244,132,17.485929887,4649,0.9445225975,1819,59
2020-2021,10,07,Outaouais,CISSS DE L'OUTAOUAIS,Total établissement,,93919,12727,5980,7.7473214182,74170,2.2603798294,65535,5306,2578,3.6788234404,46214,2.2596736318,28384,6247,2019,17.140959206,27956,2.2615472429,7421,3402
2020-2021,10,08,Abitibi-Témiscamingue,CISSS DE L'ABITIBI-TÉMISCAMINGUE,Total établissement,,68497,8034,4318,5.1218858328,58995,2.0000127224,55169,4383,3231,3.7552498585,45713,2.2081815652,13328,1289,159,10.778844121,13282,1.2835526778,3651,1087
2020-2021,10,09,Côte-Nord,CISSS DE LA CÔTE-NORD,Total établissement,,58803,6740,3298,5.9502825205,47708,1.8788155376,45606,3531,2000,3.1240316272,35301,1.9334371705,13197,2280,1088,15.717199111,12407,1.7234034103,3209,1298
2020-2021,10,11,Gaspésie-Îles-de-la-Madeleine,CISSS DE LA GASPÉSIE,Total établissement,,46620,7940,2041,4.7751274727,42271,1.2904272235,35861,4294,1391,2.7035227065,31761,1.3859516475,10759,1304,375,11.680027419,10510,1.0017544138,3646,650
2020-2021,10,11,Gaspésie-Îles-de-la-Madeleine,CISSS DES ÎLES,Total établissement,,8420,965,243,3.4294638757,7204,0.768185653,6815,562,125,1.7967678324,5612,0.8046467886,1605,120,9,10.362064209,1592,0.6396555695,403,118
2020-2021,10,12,Chaudière-Appalaches,CISSS DE CHAUDIÈRE-APPALACHES,Total établissement,,112203,18966,5790,5.5906055839,97902,0.8938046692,77110,6803,2639,2.3980835747,62840,1.061569524,35093,4290,336,12.605547941,35062,0.5931274837,12163,3151
2020-2021,10,13,Laval,CISSS DE LAVAL,Total établissement,,55188,9619,3962,8.4389321602,44570,2.1566241057,34831,2618,1157,4.2474595746,24261,2.7222299049,20357,3887,294,15.610577374,20309,1.4809550774,7001,2805
2020-2021,10,14,Lanaudière,CISSS DE LANAUDIÈRE,Total établissement,,86834,13747,6036,9.3026577435,70995,2.4061374666,52972,3699,2946,4.7828007721,37380,3.0350236015,33862,7946,1040,16.373293367,33615,1.7068138397,10048,3090
2020-2021,10,15,Laurentides,CISSS DES LAURENTIDES,Total établissement,,116055,17631,8770,10.544531563,96892,2.7032869615,72241,5642,3136,5.0054306419,53338,3.3685096825,43814,11836,3620,19.677461441,43554,1.8886281589,11989,5634
2020-2021,10,16,Montérégie,CISSS DE LA MONTÉRÉGIE-CENTRE,Total établissement,,84887,14487,7201,9.5000364144,65766,2.275931138,54821,4386,2729,4.0254693761,35758,2.7193844268,30066,8877,2037,19.482117157,30008,1.7475052949,10101,4472
2020-2021,10,16,Montérégie,CISSS DE LA MONTÉRÉGIE-EST,Total établissement,,87422,15353,5558,9.3643018125,72623,2.1178235354,52853,5071,2087,3.9393661297,38197,2.5328206767,34569,9003,2353,17.658557523,34426,1.657367897,10282,3471
2020-2021,10,16,Montérégie,CISSS DE LA MONTÉRÉGIE-OUEST,Total établissement,,63198,10797,3995,11.348593244,54817,2.1438762407,41312,3064,2024,4.5729865751,32984,2.5724564941,21886,7596,3048,24.138224182,21833,1.4964026423,7733,1971
2021-2022,10,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,Total établissement,,100160,15745,4231,4.1017010339,87254,1.7591367572,75496,7747,2647,3.0132551504,62907,1.9496926592,24664,406,6,7.4334116413,24347,1.2667845114,7998,1584
2021-2022,10,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,Total établissement,,128271,18789,6443,5.9044215935,110189,2.3249537512,87354,7564,2393,3.4670489172,69907,2.6219812433,40917,4012,444,11.107986194,40282,1.8094803165,11225,4050
2021-2022,10,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,Total établissement,,177917,27459,13534,8.5214254243,149849,1.7917141497,107046,8466,4020,4.0701309873,79174,2.4016779147,70871,13663,2786,15.244813895,70675,1.1083993829,18993,9514
